url,type
http://00000000000000000000000000000000000000000.xyz,phishing
http://00000000000000000000000000000000000000dfjjjhv.000webhostapp.com/Yahoo/YahooAttt/global/attverzon/login.php?.intl=us&.lang=en-US&https://login.yahoo.com/?.src=ym,phishing
http://000000000000000000000000000000000000dbscrfg.000webhostapp.com/Yahoo/YahooAttt/global/attverzon/login.php?https%3A//login.yahoo.com/?.src=ym&.intl=us&.lang=en-US,phishing
http://000000000000000000000000000.vstarbet555.com,phishing
http://000000000000000000000000000yteyeuya.000webhostapp.com/Yahoo/YahooAttt/global/attverzon/login.php,phishing
http://0000000000000000000000000.findyourjacket.com,phishing
http://00000000000000000000000.fielty.mx,phishing
http://000000000000000000.cybertek-peru.com,phishing
http://000000000000000000gg.000webhostapp.com,phishing
http://00000000000000000dhl.000webhostapp.com/delivery.php?code=4082007,phishing
http://00000000000000000update.emy.ba,phishing
http://0000000000c0.x9xcax2a.workers.dev,phishing
http://000000000a0uutlook.weebly.com,phishing
http://00000000883838383992929292222.ratingandreviews.in,phishing
http://0000000095.godaddysites.com,phishing
http://000000009980011200.ml/confirmid.php,phishing
http://00000002.c1.biz,phishing
http://0000000wer.000webhostapp.com,phishing
http://000000541840000.co.vu/confirmid.php,phishing
http://0.00000.life/paypal/login.html,phishing
http://000000web.repl.co,phishing
http://0000077647465.org,phishing
http://0000094.repl.co,phishing
http://00000microsof.tonohost.com,phishing
http://000012151000.co.vu/confirmid.php,phishing
http://000025123.com/banks/CIBC,phishing
http://000025123.com/banks/Desjardins,phishing
http://000025123.com/banks/Scotia,phishing
http://000025123.com/banks/Simplii,phishing
http://00003485.com/banks/Tangerine,phishing
http://00003485.com/banks/TD,phishing
http://000066655333778880000.000webhostapp.com,phishing
http://0000bbffxzzzz900.000webhostapp.com,phishing
http://0.0.0.0forum.cryptonight.net,phishing
http://0000h00003.byethost7.com/?i=1,phishing
http://0.0.0.0mailgate.cryptonight.net,phishing
http://0000mscautorizationclientid.com/ebranch-iccu,phishing
http://0.0.0.0ns10.cryptonight.net,phishing
http://0000promises.000webhostapp.com,phishing
http://0.0.0.0ssl.cryptonight.net,phishing
http://0000wa0outlook.weebly.com,phishing
http://000102.ml/css/e,phishing
http://00010xsea34dsd.co.vu,phishing
http://00010xsea34dsd.co.vu/crec.php,phishing
http://000111.pages.net.br,phishing
http://000193.azurewebsites.net,phishing
http://0001siteenconstruction2.fr/jhmgdhfdv/ssadd/index.html,phishing
http://000220.000webhostapp.com,phishing
http://0002-i-nastolatek-to-przegrales-zycie-i-to-z-kretesem.fun/weryfikacja,phishing
http://00030ae9.qepfmq.shop/amagc,phishing
http://0003676.com,phishing
http://0006.mediafirew.xyz,phishing
http://0007854.atwebpages.com/desk/index.html,phishing
http://000811893962007154932393170597959432.hanefra7bikiemta.com,phishing
http://000-845int283-000.xyz/directing/desjardins/identifiantunique/indentification.php,phishing
